"keys","ru","en"
"Тафл","Тафл","Tafl"
"Вы","Вы","You"
"Осаждающие","Осаждающие","Attackers"
"Защитники","Защитники","Defenders"
"Ход осаждающих","Ход осаждающих","Attackers' turn"
"Ход защитников","Ход защитников","Defenders' turn"
"Победа осаждающих","Победа осаждающих","Attackers win"
"Победа защитников","Победа защитников","Defenders win"
"Ничья","Ничья","Draw"
"R — заново","R — заново","R — restart"
"Скандинавская стратегия викингов","Скандинавская стратегия викингов","Norse Viking strategy"
"Играть","Играть","Play"
"Настройки","Настройки","Settings"
"Как играть","Как играть","How to play"
"скоро","скоро","soon"
"Достижения","Достижения","Achievements"
"Выход","Выход","Quit"
"Выбор партии","Выбор партии","New game"
"Режим","Режим","Mode"
"Сторона","Сторона","Side"
"Защитники (король)","Защитники (король)","Defenders (king)"
"Сложность ИИ","Сложность ИИ","AI difficulty"
"Лёгкий","Лёгкий","Easy"
"Обычный","Обычный","Normal"
"Сложный","Сложный","Hard"
"Назад","Назад","Back"
"Начать","Начать","Start"
"Язык","Язык","Language"
"Звук и другие настройки — скоро","Звук и другие настройки — скоро","Sound and more settings — soon"
"Заново","Заново","Restart"
"В меню","В меню","To menu"
"Меню","Меню","Menu"
"Далее","Далее","Next"
"Завершить","Завершить","Finish"
"Верно!","Верно!","Correct!"
"Открыт режим:","Открыт режим:","Mode unlocked:"
"Откроется после победы на «Обычном» в режиме","Откроется после победы на «Обычном» в режиме","Unlock by winning on Normal in"
"Откроется после победы на сложности","Откроется после победы на сложности","Unlock by winning on difficulty"
"закрыто","закрыто","locked"
"Таблица лидеров","Таблица лидеров","Leaderboard"
"Рейтинг","Рейтинг","Rating"
"рейтинга","рейтинга","rating"
"Ваш рейтинг","Ваш рейтинг","Your rating"
"Загрузка…","Загрузка…","Loading…"
"Таблица лидеров доступна в Яндекс.Играх","Таблица лидеров доступна в Яндекс.Играх","The leaderboard is available on Yandex Games"
"Пока нет записей","Пока нет записей","No entries yet"
"Войти","Войти","Sign in"
"Войдите в профиль Яндекса, чтобы участвовать в таблице","Войдите в профиль Яндекса, чтобы участвовать в таблице","Sign in to your Yandex account to join the leaderboard"
"Игрок","Игрок","Player"
"Достижение","Достижение","Achievement"
"Игр","Игр","Games"
"Побед","Побед","Wins"
"Первая кровь","Первая кровь","First Blood"
"Выиграйте первую партию.","Выиграйте первую партию.","Win your first game."
"Побег","Побег","The Escape"
"Победите за защитников (уведите короля).","Победите за защитников (уведите короля).","Win as the defenders (escape with the king)."
"Осада","Осада","The Siege"
"Победите за осаждающих (поймайте короля).","Победите за осаждающих (поймайте короля).","Win as the attackers (capture the king)."
"Закалённый","Закалённый","Hardened"
"Выиграйте на сложности «Сложный».","Выиграйте на сложности «Сложный».","Win on Hard difficulty."
"Ученик","Ученик","Scholar"
"Пройдите обучение.","Пройдите обучение.","Complete the tutorial."
"Мастер тафла","Мастер тафла","Tafl Master"
"Победите во всех четырёх режимах.","Победите во всех четырёх режимах.","Win in all four modes."
"Ветеран","Ветеран","Veteran"
"Сыграйте 10 партий.","Сыграйте 10 партий.","Play 10 games."
"Чемпион","Чемпион","Champion"
"Наберите 50 очков рейтинга.","Наберите 50 очков рейтинга.","Reach 50 rating points."
"Движение","Движение","Movement"
"Фигуры ходят по прямой на любое число клеток, как ладья, и не перепрыгивают через другие. Передвинь подсвеченную фигуру на отмеченную клетку.","Фигуры ходят по прямой на любое число клеток, как ладья, и не перепрыгивают через другие. Передвинь подсвеченную фигуру на отмеченную клетку.","Pieces move in a straight line any number of squares, like a rook, and never jump over others. Move the highlighted piece to the marked square."
"Взятие","Взятие","Capture"
"Зажми вражескую фигуру с двух противоположных сторон своими — и она снята. Сделай ход на подсвеченную клетку, чтобы взять чёрную фигуру.","Зажми вражескую фигуру с двух противоположных сторон своими — и она снята. Сделай ход на подсвеченную клетку, чтобы взять чёрную фигуру.","Trap an enemy piece between two of yours on opposite sides and it is removed. Move onto the highlighted square to capture the black piece."
"Углы помогают","Углы помогают","Corners help"
"Углы доски враждебны: угол заменяет вторую фигуру при взятии. Прижми чёрную фигуру к углу.","Углы доски враждебны: угол заменяет вторую фигуру при взятии. Прижми чёрную фигуру к углу.","The board corners are hostile: a corner replaces a second piece when capturing. Pin the black piece against the corner."
"Побег короля","Побег короля","The king escapes"
"Защитники побеждают, когда король доходит до углового поля. Уведи короля в угол.","Защитники побеждают, когда король доходит до углового поля. Уведи короля в угол.","Defenders win when the king reaches a corner square. Lead the king to the corner."
"Поимка короля","Поимка короля","Capturing the king"
"Осаждающие побеждают, окружив короля. Зажми короля с двух противоположных сторон, чтобы выиграть.","Осаждающие побеждают, окружив короля. Зажми короля с двух противоположных сторон, чтобы выиграть.","Attackers win by surrounding the king. Flank the king on two opposite sides to win."
